address lat lon tier
上海市一师附小 31.24065750904108 121.44413467006245 tierA 
上海市向阳小学 30.974858476065556 121.7484554242887 tierA 
上海市闸北实验小学 31.27879945710481 121.45491604296265 tierA 
上海市逸夫小学 31.13998482434498 121.44955998618995 tierA 
上海市亭林小学 30.895769101272307 121.32663550088238 tierB 
上海市控江二小 30.735063469217103 121.34704401393303 tierA 
上海市江苏路第五小学 31.228636724972915 121.43069503149712 tierA 
上海市盛大花园小学 31.182349492101622 121.460020484362 tierA 
上海市静安一中心 31.233844930401652 121.45343177276851 tierA 
上海市上外附属外国语小学 31.20588807224401 121.50012138131073 tierA 
上海市怀少学校 31.304990298244576 121.31785393570848 tierB 
上海市漕泾小学 30.803144863026024 121.40292903699755 tierB 
上海市港沿中心校 31.235929042252014 121.48053886017651 tierB 
上海教育学会宝山实验学校 28.17175302165593 109.20629654351768 tierC 
上海市虹口六中心 31.269746698931357 121.51158645453457 tierC 
上海市浦东外国语小学 31.27303642574695 121.60089607816712 tierB 
上海市蓬莱二小 30.735063469217103 121.34704401393303 tierA 
上海市闸北区大宁国际小学 31.28941666675899 121.46706625379896 tierB 
上海市彭浦新村第一小学 31.315027936684157 121.46523092581153 tierB 
上海市民乐小学 31.235929042252014 121.48053886017651 tierA 
上海市闸北区第一中心小学 31.218961622161302 121.46602529737402 tierB 
上海市鹤北小学 31.016670186640116 121.42225823597795 tierB 
上海市建襄小学 31.214484841579207 121.46665698580861 tierA 
上海市徐汇一中心 31.194556772822725 121.44339635276381 tierB 
上海市童园小学（民办） 31.298068473701363 121.5828553187797 tierB 
上海实验小学 31.14337183349504 121.10282995934601 tierA 
上海市上音实验学校 31.18704683784799 121.52045497568183 tierC 
上海市华二浦东实验学校 31.176959843603647 121.51129702049927 tierB 
上海市东安路二小 30.91280178819249 121.76635060248859 tierB 
上海市平和双语学校 31.246277202222636 121.59637724212975 tierB 
上海市高安路一小 31.208396487918794 121.45248315676015 tierA 
上海市爱菊小学 31.219487852174392 121.44890000113179 tierA 
上海市复兴东路三小 31.226901852985854 121.49338507812195 tierB 
上海市巨鹿路一小 31.221752939051505 121.46663362986536 tierC 
上海市静安实验 31.233844930401652 121.45343177276851 tierC 
上海市二联小学 31.2888676859769 121.53388536170041 tierC 
上海市静安三中心 31.233844930401652 121.45343177276851 tierB 
上海市上外静安外国语小学 31.239405057499848 121.47007503827408 tierB 
上海市观澜小学 31.180482845820073 121.7033770165092 tierC 
上海市六一小学 31.310993697751744 121.52842734725233 tierC 
上海市回民小学 31.30749304076881 121.5414233127263 tierC 
上海市上实东校 31.235929042252014 121.48053886017651 tierB 
上海市闸北区第二中心小学 31.341981884607204 121.43902501849114 tierB 
上海市闵行区中心小学 31.010911158803115 121.43420300434414 tierB 
上海市洵阳路小学 31.25551714603048 121.431522730194 tierC 
上海市北京东路小学 31.246064794952567 121.49148453315449 tierC 
上海市曹杨六小 31.28270153673111 121.47344637885304 tierC 
上海市幸福小学 31.20909781351949 121.4384722012803 tierB 
上海市明珠小学（ABC） 31.16725777281311 121.53266869671769 tierA 
上海市育秀实验学校 30.912515847938913 121.47291000063302 tierB 
上海市上实附小 31.138126684911338 121.43584663393574 tierC 
上海市宝山世外 31.344714861663743 121.5000380185594 tierB 
上海市曹二附校 31.235929042252014 121.48053886017651 tierC 
上海市日新实验小学 31.15983263898895 121.39273605420638 tierC 
上海市金洲小学 31.255352145395243 121.3932049696826 tierB 
上海市水丰路小学 31.292949553949047 121.54474407870502 tierB 
上海市嘉华小学 31.274601848723503 121.42247697336964 tierC 
上海市贝港实验小学 30.917165165808903 121.44758506152627 tierB 
上海市黄浦一中心 31.22533362393172 121.51172093086942 tierB 
上海市七宝外国语小学 31.143195817733073 121.37695201792111 tierB 
上海市长宁实验小学 31.215258472729754 121.39467971783834 tierB 
上海市福山外国语小学 30.929624546954923 121.52716334156925 tierA 
上海市晋元附属学校 31.235929042252014 121.48053886017651 tierB 
上海市宝山实验小学 31.41074568431403 121.49270928288679 tierA 
上海市齐齐哈尔路第一小学 31.26922484134492 121.53291896463277 tierB 
上海市市西小学 31.231243025392242 121.44789147353572 tierC 
上海市上大附属经纬学校 31.16041567350389 121.4444405430886 tierC 
上海市内江路二小 31.286363197236472 121.55286188324268 tierC 
上海市卢湾一中心 31.15802526304729 121.09590168826973 tierB 
上海市江桥小学 31.263232259751494 121.3439462972124 tierC 
上海市华坪小学 31.00755814727065 121.42921821723873 tierB 
上海市海桐小学 31.207455314419178 121.54854974999805 tierB 
上海市桃李园实验学校 31.396700239632885 121.25392377832713 tierB 
上海市青浦世界外国语学校 31.196711646888787 121.28821497422062 tierA 
上海市丽英小学 31.28890487111776 121.48542303706482 tierB 
上海中医药大学附属蔷薇小学 31.132166821836314 121.44055501243574 tierB 
上海师范大学附属外国语小学 31.03747414503292 121.24092844166702 tierA 
上海市逸夫小学 31.13998482434498 121.44955998618995 tierB 
上海市江湾中心校 31.321029301945863 121.49345236120465 tierC 
上海市凤城新村小学 31.288994670857416 121.52411952317924 tierC 
上海市崇明双语小学 31.630023192502463 121.41588700414843 tierB 
上海市新虹桥小学 31.208853587030756 121.39477844161388 tierC 
上海市交大附属实验小学 30.917165165808903 121.44758506152627 tierC 
上海市威海路三小 31.23617806114117 121.46111093742057 tierC 
上海市赵屯中心小学 31.264782645015405 121.08772800643446 tierB 
上海市东安路第二小学 30.91280178819249 121.76635060248859 tierB 
上海市静安二中心 31.233844930401652 121.45343177276851 tierC 
上海市许昌路第五小学 31.27803584174519 121.51866600025872 tierC 
